Ratings,Reviews,Ratings
1,"Pros:__________• It’s very comfortable. When you wear the Versa 2, the weight is balanced enough that it doesn’t bring any discomfort, and light enough to sometimes forget you have it on.• The design is almost identical to an Apple Watch. With square rounded corners, it’s almost impossible to tell the difference if you had both of them side by side.• I had no discomfort wearing this Fitbit when I slept and had no itchy feeling around my skin when I woke up. Overall, you can wear this all day without any issues.• The screen has great contrast, vivid colors, and has excellent brightness. On a clear sunny day, I put this display to the test and it passed with flying color. Outstanding outdoor viewability.• The Alexa feature does work. I did like the fact that with you can speak to this watch as if it was a smartphone, and Alexa will answer to you (in text). Weather report, nearby stores, and overall a quick way to get an answer (More details later on).• Fitbit is pushing this Versa 2 into the world of smartwatches, as you’re able to control any of your smart home devices with this watch. I only have some smart light bulbs, so my testing was turning them on and off with this Fitbit. Please to say that it worked flawlessly.• I felt the sleep scoring system was pretty accurate. I tested it for almost a week and the graph displaying for my sleep fit my experience. Fitbit always does a great job providing your data in a visually appealing look on the app and in desktop form.• The alarm feature is very useful. When the Versa 2 is tracking your sleep, it will find the best time to wake you up before you “actually” have to wake up. Everyone has a different sleep cycle (light and deep sleepers) so you may expect a different outcome. Usually, it’s within the 30-minute time frame before your alarm is set.• The other fitness programs in the Fitbit (activity trackers, heart rate, distance travel, calories burned, and so forth) are all decently accurate and effective. This technology isn’t new, but Fitbit does make fitness trackers that are consumer-friendly. You’ll be surprised how complex some tracker out there are. If you had the previous Versa, you should expect the same layout.• Some features like the Relax app (guides you through breathing exercises), movement reminders (lets you know when you been sitting for too long) and step counts all stimulated me to be more active. It’s hard to explain but when you see your progress on a graph, or even a number, you feel compelled to keep growing it. Because of Fitbit’s friendly visual graphs, you don’t have to write anything and overall it brings a form of motivation to keep increasing your numbers.• Numerous exercise modes, training guides, and even 10-minute training cycles. Like I mention before, if you need something to motivate you to work out, this will be it.• One of the best features in the Always-On-Display. I’m a huge fan of this because you’re not wearing the watch every second of your life. It’s nice to see that you can leave it on a table and the display will still viewable, like any other watch.• Third-party apps like Uber are available for this watch. I don’t use Uber, but it’s good to know that third-party app companies are putting their foot in Fitbit.• Going for a jog, the watch vibrates when I get a notification, which is just a text for me. It’s also pretty straight forward in deciding what you want to be notified about.• Yes, you can swim with it. Haven’t tested this out though.• Battery life is good, compared to the other smartwatches out there. Around 3 days of use before I need to charge it. Maybe 2 if I’m using it a lot, and the Always-On-Display is on max brightness.Cons and Oks:__________• There is a connectivity issue that I’m dealing with my Versa. It would disconnect from my phone and would take numerous times in trying to reconnect it. I have no idea why it’s doing this but I’ve noticed past reviews online addressing the same issue. It has to be a software problem because others are not getting this issue as well. Be on the lookout.• Another issue with the connectivity is you won’t know if there is no connection until you physically look at the display. This is a huge issue if you have notifications, texts, and updates coming from your phone to this watch. If the watch is disconnected, and your phone is not with you, you may miss some important stuff.• On the display, I felt Fitbit’s main icons are very unclear. What I liked about Android and Apple is that even if you never used there OS, you can tell where to go with the icons they provide you. The icons that Fitbit provide are very unclear and if you don’t use this device often you’re going to be lost in there OS.• You’re paying decent money for the device but Fitbit restricts a lot of it as they want you to sign up for their monthly “Premium” services. This monthly Fitbit service offers a great deal of programs, but if you don’t want to pay a monthly payment then you’re stuck with the “basic” software of the watch.• No idea why Fitbit did this but you can’t stream Spotify on this watch unless you have premium Spotify subscription. Not only that but you can’t even allow playback from this device to your speakers, phone, etc. I hope they fix this as it seems you need to pay more to use the watch fully.• Alexa provides the basics of communication but other than that I found it useless. The voice recognition lacks useful search results and since there are no built-in speakers, you’ll never get any audio notifications and hear Alexa’s answers. Middle of a workout, you will have to stop and look at the text that Alexa provides.• To even use Alexa, you need to install Amazon’s Alexa’s app on the phone and have an account with it.• No integration with Apple Health and Google fit. You have to stick with Fitbit all the way.• No GPS. You need to connect it to your phone to all GPS tracking. Without it, this creates a reduction in accuracy when you run. I didn’t find it to be that much off, but it’s enough that I think you should know.• Has some thick bezels around the screen.• If you want to change the strap, expect a fight. Fitbit locks the brands pretty solid, so taking them out ain't going to be fun.• I wish that you can customize the Always-on-display because currently, it’s a very simple layout. Not customizable to your choosing.• Currently I can’t respond to text messages with this watch with my iPhone, but you can use this feature on an Android.• I notice that Fitbit doesn’t have a payment system of their own. When you want to buy an app, you’re going to paying directly to the developer, where they can use any payment system they want. So far this isn’t an issue but it’s something to note in the long run due to security reasons.• You can’t even store your favorite apps for quick access.• Up 300 songs you can store on the desktop Fitbit app, but you have to transfer them over WIFI. No wire transfer and depending on your WIFI speed, it will take some time.• When you get a notification, or ask Alexa a question, you’re going to get a one-sentence answer. Numerous times I found this frustrating because you’re not getting any context to help you, and it just leads you to want more.• Your phone needs to be with you to fully use this watch. The Versa is an accessory to your phone.Bottom Line:__________It’s not a smartwatch for your phone. You have to get on board with this idea before you buy this watch. The point of Fitbit is to have a digital fitness book on you at all times. With the Versa 2, It’s a fitness book that does all the writing, tracking, and you’re only requirement is to workout. This is what Fitbit does a great job in. It provides you as much detail as you need on exercises, your workout routines, and your health. I felt the need to check on my stats every day as it’s one of the few devices that can visually show you that you’re improving. A light device, excellent display, and a great motivation tool.But you need to put it in your head, it’s not a smartwatch. The Apple Watch is a smartwatch. The Galaxy Watch is a smartwatch, and this isn’t. Unlike other smartwatches, once you buy this, you still need to pay more to have the full experience. Fitbit premium “monthly” services provide a great deal of data and programs to help you out, but you need to pay for it. Even with the payment you still need to have your phone around as Alexa currently isn’t useful enough other than asking for the weather. With no built-in GPS tracking, limited text/notification updates, and Spotify restriction, you can see why this isn’t in the same category with Apple and Samsung.This is a fitness tool to help you keep your body in shape. Fitbit does a great job in that, but if you’re looking for a smartwatch then go over to Apple and Samsung. Those are smartwatches, this isn’t.Overall: A virtual fitness book that is a must-have for those who want to get in shape but has too many issues to be called a real smartwatch.Hope I was a help to you.Love,Honest Reviewer",3
1,"The Versa 2 brings some modest improvements to the original, both inside and out. Here are some highlights:The screen is now AMOLED, yielding brighter colors and deeper blacks.The glass cover no longer has a bezel, giving it a smooth, low profile and premium look.The optical sensor on the bottom is bigger and doesn't protrude from the case, making it more comfortable on the wrist.The music and exercise buttons are gone. A mic to command Amazon Alexa is in their place. She can do things like set timers, alarms, reply to texts, give you the weather forecast as well as a FEW other useful things.The processor is faster. Apps load faster and the touch screen is more responsive.Always on display is now supported.Screen brightness is now always adaptive, though you can preset the base brightness.There is a new sleep mode which turns off autowake and notifications during during selected times so your watch doesn't bother you while you sleep. Do not disturb mode will silence calls and notifications during exercise as well.You can control the Spotify app on your phone from your watch.Fitbit pay is now standard on all Versa 2 editions.*The battery is rated for 5+ days. I've been getting a solid 6.5 with always connected, all day sync, 24 hour HR, and at least 3 hours of running.That being said, the Versa 2 isn't perfect. Fitbit OS is still feature lite, the app store is still rather small and there is still a dearth of useful clock faces. I'd still like to see a screen lock feature, a stride per minute counter and music controls in the exercise app, and a bunch of small. QoL improvements.If you're like me and mostly want an excellent fitness tracker with a handful of productivity features sprinkled on top, then the Versa 2 is for you, especially if you want a battery life long enough to make use of any of those things. If you care less about fitness and more about controlling your phone from your wrist, then you might want to look at a Galaxy Watch or a Fossil Gen 5, especially if you don't plan on tracking sleep, as you'll need to recharge both at the end of the day. If you have an iPhone I don't know why you're reading this.",4
0,"The media could not be loaded.
 Another update before I return my watch for the second time: it’s 5:36am and my watch says that I slept 8 hours. I’ll upload the imagine. I went to bed at 11:15 and woke up at 5 am. I can’t believe how off the sleeping app is today.An update: my Sister got a new Fitbit versa for me again and I wore both Apple Watch and Fitbit Watch. The step count was very different. Almost 3 thousand more steps with the Fitbit. It counted extra 800 steps while I was in the resting position. Ones again I contacted the Fitbit asking them why this has happened, they told me Apple and other devices count steps differently. 2856 step difference is huge though.My wife just got her Fitbit Versa 2 yesterday and went swimming with it as it today. The watch initially worked for a few minutes while using the swimming app. After 20 minutes she came out and the watch was totally off. We tried to charge it everything but it seams that it got water fried. It’s supposed to be water resistant up to 50 meters! The pink band was bought separately. Original was purple. Had exactly same problem with last generation Versa. And from googling it seams that we are not alone with this problem. I returned my watch and asked Fitbit if they would give a discount if I buy a new watch they said they will not. Well I guess I’ll just save up extra and get an Apple Watch. Will definitely send all the videos I had made to the bloggers so others won’t make the same mistake.",1
0,"Imagine buying a smart watch that claims to have Spotify integration, and then Spotify just doesn't work. Right out of the box, one of the main features just gives you an error message each time you try to access it. And though you never get it working, it turns out that it doesn't actually have Spotify integration. You can just use your watch as a controller for Spotify on your phone. Which your earbuds already probably do.Now that I've spent some actual time using the Versa 2 to assist in my workouts, I'm going to deduct another star (previously I rated this a 2 star watch). During exercise the Versa 2 will frequently pause the music I'm listening to for some reason. The screen will be off and I'll be using the ""Weights"" exercise option, and maybe every 10 minutes or so the song I'm listening to will cut off mid set. So I finish and look at my Versa 2. Everything seems fine. It's still connected to the earbuds, it's still tracking my heart rate and time, but when I navigate to the music section, the song is paused.Sometimes during a workout, the Versa 2 will just restart. This has happened to me twice (Versa 2 had a near full battery since I charged it before heading to the gym). Basically I'll be exercising and my music will cut off, and I'll think I just need to hit the play button again, but when I look at the watch I just see the Fitbit logo. A few seconds pass, and then it starts back up. I have to reconnect my earbuds, my workout was cancelled so I had to start a new one.The more I use this watch, the more I dislike it.Welcome to the Versa 2.",1
1,"I just bought this and the app doesn’t work on either my iPhone or iPad. DON'T BUY unless you read the reviews on their app. Amazon gives me a month before I have to return it. I’m giving them 2 weeks to fix before I send back. I’ll let you know if they resolve this issue. Buyer BEWARE!As promised, the next day they fixed their app! Loving it so far. Had an Apple Watch and the battery last only a few years. Switch to the Versa 2 for half the price of an Apple Watch and as I can tell right now, features are similar. However, I never had Apple respond with trouble shot and a fix as quickly as the Fitbit Team!",4
0,"I pre-ordered this item and it arrived to me yesterday. This has been the most frustrating fitbit I've had. I cannot get it to sync correctly, it wont show my notifications, and I cant get my headphones to connect through bluetooth. And before all that it wouldn't download the software. I will probably be returning it, and hoping this one is just glitched. I really want to like this watch. But if I get another and it does the same thing, I may have to look into other smartwatch trackers.",1
1,"I've had various Fitbit products over the years, and have really liked them, and Fitbit customer service has been great to me. This is an upgrade from my Charge 2. The other watch I considered was the Apple 4 (or now 5), but it's twice the price at $399. The Apple had a EKG (really ECG) that I liked, but was not sure it would be too helpful for me. And the Fitbit has sleep tracking a feature that the Apple Watch does not come with. And the battery life on the Fitbit Versa 2 is a lot better with 4-5 days vs. Apple's less than one day (18 hours).The screen is beautiful, a HUGE upgrade. Lots of clock choices. There is an always on screen, but I chose to keep it off for now, it uses more power, and it's a very basic black and white, simple screen. And not sure I always want the screen on, there are times like in a theater or in a dark room where it would be distracting. A big plus is you can turn auto screen off at night, so it does not come one when you move in your sleep. A very useful feature, that should save some battery life too.I needed to call customer service as I was having problems getting it added on my Fitbit app. Since the watch is brand new (released September 15), it needs the latest Fitbit app for it to work. After that was fixed, there was a bluetooth issue, but after turning it off and on, we were in business.A wonderful upgrade for me.EDIT: I want to add, the watch bands are so much better than previous one's I've used on Fitbit watches. I'm guessing they are no different than those on the previous Versa, but they are so much easier to use than those on the Charge 2. (and I think they will last longer, I had problems with my Charge 2 bands breaking.)",5
1,"I previously had the Fitbit Versa Lite edition, which included features like Fitbit Pay among others. I have to say, I am overall very impressed with the Versa 2, as its features have vastly improved and the device itself runs much more smoothly all-around.Key highlights include:Much faster load time for apps and settings, as well as improved notification display time (from time received to time displayed).The display is MUCH clearer, brighter, and more vivid in color.The screen, although bigger than the last edition of the Versa, still seems a tad small proportionate to the device surface, however the actual glass itself seems much smoother and glossier.The silicone band (in bordeaux) seems much more comfortable and flexible, which will allow for more comfortable wear.The clock face that comes loaded onto the device is quite flattering; I likely won't be switching it out for another (and sifting through countless cheesy floral and wolf faces- sorrynotsorry).I absolutely LOVE having Amazon Alexa built-in, as I use this feature on all my other devices including several Amazon devices I have in my home.This brings me to my next point....We have a microphone, but where's the speaker? I was really hoping that Fitbit would catch up to other competing brands and install a waterproof speaker, not even for music playback, but for the Alexa integrated voice and possibly phone calls and notifications (yes, it's a fitness tracker, but even hardcore gym goers have kids with inquiries).This updated Versa is just about everything I hoped it would be. My favorite new feature is the accentuated screen size, and the new screen settings really make a huge difference in how I use it. Extended battery life is also a huge plus, although I would go 6 or 7 days without charging my Versa Lite, so I imagine this will last over a week now on minimal settings.Definitely worth the upgrade if you're considering!",4
1,"I love my Fitbit, BUT, beware of the band! I wear my watch so it doesn't move around. I went Swing Dancing and came home and took a shower and found what looked like chemical burns. I read all the information and this is a known problem! The band doesnt breathe and bacteria forms in minutes. The first is the burn from Saturday. The second was from a 20 minute dog walk and I cleaned my arm and the band immediately. Their fix... take it off. Well what did I spend 200.00 on to not wear it.The Fitbit is an amazing fitness device. I have used the Garmin and the Samsung and went back to the Fitbit. Just buy the breathable replacement band!",4
0,"I'm so disappointed by the Versa 2. You cannot stream Amazon Prime music on the versa 2. This makes the Versa 2 NOT worth it. You can listen to your free Pandora account but it will cost you for a $4.99 a month in order to have it on your Versa 2. OMG!!! Really? Again not worth it!! I bought the Versa to track my detailed sleep patterns mostly and come to find out if you want this done you will have to buy a premium upgrade for $12.99 a month. Nowhere in the description or on the box does it say you have to have a premium membership in order to have a detailed sleep summary . Again another falsely made claim by Versa 2. Lastly, I'm not able to download any music directly to my Versa to because it's unable to Bluetooth directly with my Mac that is 5 years old. It also does not Bluetooth to my LG 5 and I was told by customer service I need to upgrade my phone. You have got to be kidding me people? DO NOT buy the Versa product line as they are clearly not worth it!!After paying $199.00 plus a $15 warranty and then they want me to pay extra monthly charges and premium service fees to just to use the features it was suppose to come with? Makes it NOT worth it.",1
